,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Shared topic 11,Shared topic 12,Shared topic 13,Shared topic 14,Shared topic 15,H3K27ac private topic 1,H3K27ac private topic 2,H3K27ac private topic 3,H3K27ac private topic 4,H3K27ac private topic 5,H3K27ac private topic 6,H3K27ac private topic 8,H3K27ac private topic 9,H3K27ac private topic 10,H3K27me3 private topic 1,H3K27me3 private topic 2,H3K27me3 private topic 3,H3K27me3 private topic 4,H3K27me3 private topic 5,H3K27me3 private topic 9,H3K27me3 private topic 10
1929,3.229256,-0.5225433,-0.3321095,-0.6161666,0.32387394,-0.16631863,-0.35502917,-0.4331743,-0.05004388,1.6926961,-0.3758441,0.046700552,-0.36345327,-0.37628162,-0.4102257,-0.9216946,-0.50551367,-0.9298194,2.1228209,-0.6084726,-0.51993024,-0.77390826,-0.72164387,-0.37635645,0.5509545,0.51057214,-0.47568175,0.3172361,0.059962966,0.92119426,-0.5341644
1930,-0.30994648,-0.24143636,0.57268226,-0.61366206,0.29224718,2.2959046,-0.35559005,0.39431494,-0.28815657,-0.5311486,0.70780027,-0.61582905,-0.53629273,1.1557803,-0.108946875,0.033017337,-0.44689763,-0.14095728,-0.020396026,-0.18161778,-0.27557027,-0.08150453,-0.15566008,-0.33677825,0.30490214,2.2436023,0.5557245,-0.3468595,2.465295,0.8273432,2.9567554
1931,-0.04574754,0.4992066,-0.6700894,0.26006037,-0.16229029,0.07249257,-0.60969865,-0.6336231,1.4722109,0.5239523,-0.5763355,1.3743263,-0.32232,-0.47214362,-0.3962717,-0.29243916,-1.8759092,6.6839294,0.491151,-0.36932406,0.15007925,-0.3570498,-0.61829364,-0.32242152,1.5378057,-0.85254914,-0.19427535,0.01745129,-0.7548372,0.07610099,-0.8567876
1932,-0.40414444,-0.29377326,-0.40831646,-0.40862697,-0.46465155,-0.23329212,-0.42088252,-0.12038647,-0.3572242,-0.2328631,2.4147213,-0.014879942,0.0784359,-0.75144017,0.014337998,-1.3173505,-1.6363674,-1.268795,-1.7928616,-1.5718336,-1.0979398,-1.0674034,-0.8562496,-0.9112015,3.7700233,0.43135816,1.0402873,0.47296154,0.17491399,-0.05428142,0.45469186
1933,-0.075288385,-0.6905708,-0.65901864,-0.3248654,-0.34620014,0.333689,-0.11579788,-0.20336366,-0.17085408,-0.07994209,2.3102283,-0.5868034,0.3858603,0.42851967,-0.20924436,1.7850244,-0.86746705,-0.6852397,0.9956429,-0.579871,2.0550494,-0.46444324,-0.17576544,-0.55891144,4.0313754,1.3001025,0.07307696,-0.51389253,0.33926064,1.0647237,0.46976665
1934,0.1761044,0.8883032,0.1924489,0.4040715,0.9482299,-0.06482418,-0.5586736,-0.66022986,-0.23659633,0.17098954,-0.12860382,-0.5302832,-0.61429656,-0.56067276,-0.4539535,1.8254526,-1.2813753,2.132545,5.593154,-0.72109747,-0.7949646,-0.2496864,-1.2054363,-0.7521456,1.4139522,-0.31940007,0.26857048,0.10999502,-0.15120953,-0.68515486,-0.5654238
1935,-0.51878643,-0.34233347,-0.24041323,-0.17920779,-0.37363026,-0.3951311,0.34672934,-0.5034137,2.8812509,2.0955982,-0.96794045,-0.8459191,-1.0391495,-0.66102016,-0.47184193,-1.0618379,-0.71752024,-0.20373939,-0.36312398,-1.1541951,0.51224136,-0.7611984,-0.5568693,-0.08329574,0.51592773,-0.431131,1.0900242,-0.57322687,-0.037912566,-0.9100133,-0.047445275
1936,-0.30318415,-0.5044157,0.037543178,0.40184408,-0.3528438,0.92892754,4.2483826,-0.19354083,-0.342977,-0.22177193,-0.0056565404,0.49467853,-0.23229799,0.8548047,0.0633463,-0.35139996,0.4952364,-0.8848435,-0.18539672,0.32102522,-0.34966707,-1.1093751,0.36421257,1.2985266,-0.14465098,0.60119593,3.1188965,-0.7646201,1.1274651,-0.48223838,0.07924001
1937,-0.26011372,-0.12860273,-0.3353001,0.15423006,-0.107255265,5.617957,-0.36114016,-0.18900724,-0.05724954,-0.2398336,-0.31355527,-0.6234576,-0.24958627,-0.0042833313,-0.31564155,-0.57922584,-0.82330394,0.068224885,-1.0125749,-1.0681618,-0.101496994,-0.29763284,-0.6298139,-0.51812464,1.495268,0.69148624,0.20180425,0.22294363,-0.064786814,0.79753697,0.6984869
1938,-0.17306417,-0.38691425,-0.5577555,0.57224035,-0.32241875,-0.06020105,-0.6271051,-0.6046859,0.36493802,3.6478693,-0.6725185,-1.1380293,-0.6216656,-0.60554004,-0.5262392,-0.054559316,-1.3200349,4.2993255,0.159588,-0.6622843,0.04799755,-0.38816598,-0.60694015,-0.5624939,0.427717,-1.5419716,-1.4340537,-1.1697083,-0.74385655,-1.0237956,-1.3486966
1939,0.2950951,-0.95382786,-0.9294889,-0.035137028,-0.1863042,-0.56377447,-0.76678157,-0.7304671,-0.118126914,1.9641051,0.29381883,-0.04688234,-0.83129334,-0.41601712,-0.31894433,0.02848016,-1.1351548,6.5356035,0.6770981,-0.72024834,0.8356407,-0.7524813,-0.49098662,0.08322441,3.2137642,-0.88839775,-1.0746759,-1.0996001,-1.1267639,-0.20697546,-0.8057564
1940,-0.2786859,-0.32369342,-0.7164602,0.011235662,-0.021659046,-0.067982115,-0.028207706,-0.41775247,-0.2931485,-0.35434115,0.3176534,6.266464,0.26335552,0.20861313,-0.15359655,-1.5512289,-2.4169407,-1.0287468,-1.3862644,-1.3630124,-1.0657834,-0.7856863,-0.6639419,-0.7725877,2.0533936,0.11749828,2.1455722,-0.62130964,-0.07836837,0.5332849,-0.003017678
1941,0.3116547,-0.2642759,-0.22657609,-0.07364267,-0.76104087,0.2508262,4.1529217,-0.5664906,-0.4718957,0.5286113,0.0055184364,0.50855,-0.22883086,-0.20295238,-0.5218748,-0.08919144,0.6416998,-0.20796058,-0.3384752,0.44196802,0.22590292,0.28035364,-0.05236005,1.225686,0.7386939,0.5455121,1.0066764,-0.3343587,0.48293442,-0.4271669,2.956893
