,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Shared topic 11,Shared topic 12,Shared topic 13,Shared topic 14,Shared topic 15,H3K27ac private topic 1,H3K27ac private topic 2,H3K27ac private topic 3,H3K27ac private topic 4,H3K27ac private topic 5,H3K27ac private topic 6,H3K27ac private topic 8,H3K27ac private topic 9,H3K27ac private topic 10
Mir7052,0.4611082,-3.5426302,-1.2175949,0.98697233,0.45272905,-1.1786426,-3.4326727,0.4793629,0.19819298,0.9580045,1.3196535,0.04344149,0.070077285,0.9675137,1.0719931,0.27302676,-0.94374347,0.75816035,-0.7272126,-0.71446204,0.47261375,-0.8901434,-0.9031047,-1.1031693
Mir7053,-3.229902,0.13621336,-0.16519868,-4.208114,-0.7436518,-0.74783254,-0.7704728,-0.039854743,-1.0575542,-3.799299,-2.8021264,-1.5287051,-0.97673446,0.6884928,0.63017994,0.059278965,-0.029458657,1.2656454,-1.3697761,-2.205344,-0.52470946,-0.036024608,0.1281152,-0.10868658
Nr1h2,-0.015480876,0.050145656,-0.3171695,-1.5134826,-0.24634606,-0.022668332,-0.18579137,-0.21729359,-1.0219027,-0.8827164,-1.6209455,0.32875854,-0.39431956,0.5962018,0.35175318,-0.044499204,-0.09795018,1.425426,-1.0693848,-0.5967077,-0.1008254,-0.079216495,-0.0568808,-0.2865039
Bcl2l12,-0.895848,-0.12699221,-0.0388129,0.29162097,-0.5068171,0.20007938,-0.63834196,-0.07534614,-1.6402279,0.17363083,-0.1638771,-0.38173616,0.070216104,0.006835468,-0.18064116,-0.5002719,-0.09212844,0.49835253,0.24608639,-0.43827277,-0.15924935,-0.07344766,-0.07005459,-0.20205161
Irf3,-0.7954533,-0.2150068,-0.05982751,0.3479538,-0.59204865,0.25815746,-0.45528948,-0.022517629,-1.6625681,0.0358679,-0.2161195,-0.41746223,0.14054123,0.1392214,-0.23325983,-0.86343926,-0.085926555,0.4651208,0.39943883,-0.22710836,-0.19841631,-0.089905694,-0.024724558,-0.13971342
Mir7054,-0.26201493,0.5109067,0.5888178,-4.655106,-1.2943656,0.0017102584,-0.3166189,-0.53348565,-1.1477094,0.24200374,-0.09166202,0.30797166,0.64185846,0.39692745,0.3912508,-0.0750841,-0.066474035,-3.5105531,0.28954446,-0.3741943,-0.88424665,0.11693975,-0.08266018,-0.0048605204
Mir150,-2.8765743,-0.4636384,-0.26451164,0.47902668,-3.620906,0.23088288,-0.7322839,0.49254853,-0.68119335,-4.3400407,0.11305939,0.82819366,-3.7114854,-0.056797434,-0.55245364,-0.046916313,-0.11014643,0.49002302,-1.2294357,-0.8663472,-1.2142699,0.18069696,0.3358419,-0.24646237
Snord34,-0.29229462,-0.02641981,0.08407326,-1.0374002,-0.74305475,-0.6026878,-0.16762297,0.019739106,-0.6224466,-4.3951335,-0.30543223,0.68597716,0.089695975,0.27225226,-0.023722587,-0.20972468,-0.07049039,-0.54747343,-0.3785868,-0.057904527,-0.2322435,-0.06833761,-0.04463796,0.063451044
Mir7055,-0.30725664,0.27170673,-1.4660275,-4.4331713,0.061765805,0.3598777,0.025124475,-0.13493699,0.044445142,-4.249425,-0.3439309,-0.4676703,-0.32987225,-1.4533266,-0.8669725,0.020783514,-0.026409559,-0.6706389,0.15046063,-0.1490418,-0.39479017,-0.1094852,-0.090961054,-1.0660666
Pth2,-0.07446907,0.31698963,-0.6522522,0.21414837,-0.12942103,-0.21377164,0.21263394,-0.16377279,-0.10738225,0.12966318,-0.32739058,0.35363674,-0.6083122,-0.41507775,-1.2925675,-0.31410518,-0.047317374,-3.7737029,-0.5641288,-0.3262809,-0.034402132,-0.04217408,-0.15688361,-0.010178842
Rpl14-ps1,-0.4595798,-0.6833395,-0.06603223,-2.6560092,-4.1480002,0.6419482,0.12304628,-3.0629795,-2.0226607,-4.0755987,0.3908049,0.107940614,-3.3532593,-0.25745094,-4.2460217,-1.0470301,-1.7511048,-3.291904,0.64950037,-1.1172906,-0.20208463,-1.0684979,0.30851996,0.36508948
Hrc,-4.3096485,-0.6228089,0.20097223,-1.0246143,-0.6429397,0.0037406608,0.5202448,-0.2001742,-2.4792428,-0.5020215,0.7002742,-0.07428193,0.3579574,-3.0845509,-2.389745,-0.17491382,-0.08316521,0.6548951,-0.2133534,-0.10215177,-0.81399363,-0.04434356,-0.28588957,0.73928875
Mtag2,0.43331337,0.05570899,-0.10704557,0.66702837,0.873889,0.6684698,-0.6806842,-0.55471724,1.1716843,0.5389051,-0.37734088,-3.0968528,0.44668072,-1.5342884,-0.60059136,-0.10371754,-0.13284446,0.38069993,0.38216084,-0.78368235,-0.029665,-0.058299337,-0.19423904,-0.07996716
Lin7b,0.48838508,0.18133828,-1.5963984,0.78124285,1.0754818,0.87595433,-0.3590598,-0.17478684,1.2711533,0.78583175,-0.3634141,-1.8581963,0.18153462,-1.1456159,-2.908865,-0.123465225,-0.19206542,0.9753636,-0.12113399,-0.6259009,-0.11852484,0.039075255,-0.095151655,-0.502023
Kcna7,-2.0251932,0.35295776,-0.4849315,-0.10220702,-2.0285592,-0.108577214,-0.61530584,0.0816105,-0.31641552,0.73013246,-0.214712,-0.9085926,-0.06709964,-0.9033928,-0.2019821,-0.14492488,-0.35187817,1.580564,-1.2312024,0.01390405,0.029351503,-0.21294288,-0.2851661,-0.16071184
Ntf5,-0.89788806,-0.051979728,-0.74255085,-0.3493257,-0.24944377,-0.042993065,-0.5180849,-0.06631845,-0.26034623,-0.34801716,-0.9489249,-0.22689782,0.06749022,-0.8284012,-0.6130472,-0.20439823,-0.42001414,1.1299218,0.063139096,-0.06116284,0.18239138,-0.17397743,-0.059439264,-0.05513495
Lhb,-0.8024278,-0.29502168,-0.26477003,0.52564573,0.1714252,-0.0035264567,-0.69462675,-0.081497565,-0.2200705,-1.3074102,0.18765515,0.6747197,0.34232953,-1.8104254,-1.2003566,-0.9815551,-0.11845578,0.76423687,0.3599741,-0.08612399,-0.034915365,-0.46720588,-0.058290362,-0.2523533
Ppp1r15a,-0.7482794,0.6195728,0.27790767,-1.789609,-1.4806907,0.4825722,-0.302195,-0.33087537,-0.9689679,-4.1420217,0.24982575,1.2397015,1.4583682,1.1215729,1.1269695,0.27690503,-0.13083375,0.2500433,-0.53961986,-0.37764543,-0.6808485,-0.16332248,-0.19234456,-0.03299659
Fut1,-0.56884813,-0.2478689,-1.0312917,-4.32924,-0.38798225,0.012945935,1.0040184,-0.26121098,-1.084172,-0.6278461,-0.07549083,0.31204206,0.302912,-0.53459096,-0.84947157,-0.7318007,-0.87980145,0.8063661,-1.3103526,-2.0780406,-1.2572281,-1.0788605,0.27311397,0.62601084
Fgf21,-3.36854,0.12912127,-2.4549572,-4.087635,-0.90056664,-0.46049142,1.4843267,-0.34898922,-4.106042,0.078671336,0.20782685,0.43882978,0.58148146,-3.648085,-1.1313651,-0.8195794,-0.41924882,1.2413427,-2.461456,-1.4210892,-2.9071178,-2.3456907,0.6170278,0.7377616
Izumo1,-4.1924057,-0.48209792,-1.169412,0.50645876,-0.6839406,0.097414106,0.8801683,-0.37766105,-1.0717337,0.3950504,0.875847,-0.24196199,0.046341762,-3.9136157,-1.4565823,-1.4458289,-0.15678036,0.44225353,-2.6985373,-0.21385787,-0.4230618,-0.1910166,-0.04956624,-0.057991683
Spaca4,-3.368577,-0.37893915,-0.07376583,-0.14206555,-1.213541,0.18311843,-0.16497038,0.24696255,-3.7655525,-4.1808662,-3.6266623,-1.5727617,-0.21282664,-0.29973698,-0.8085635,-0.34737623,-0.23246823,0.5573229,-3.322689,-0.4044695,-1.6071376,-1.2111595,0.23760787,0.42240566
