,Shared topic 3,Shared topic 6,Shared topic 8,Shared topic 9,Shared topic 10,Transcriptomics private topic 8,Transcriptomics private topic 9
231,-4.3379116,-5.2063904,-3.5516794,-5.760023,-5.1927853,2.8883438,-5.1196246
232,-4.3512716,-5.586444,2.6150799,-2.7886,-4.5695987,-5.084055,-5.113016
233,-5.112997,-1.7823759,-2.7916365,2.2771077,-0.32077852,-4.928777,-3.3817186
234,-2.4433184,-3.0710325,-1.9262499,-0.3786071,-4.7554064,2.8242953,-4.0052514
235,2.5791292,-3.044576,-3.1942415,-4.2644315,-1.2890749,-4.323894,-4.3237166
236,-3.758205,-1.0283098,-1.8457977,-3.55156,-4.6133513,-5.503757,2.732764
237,-5.1699433,-3.0646935,-5.69143,-0.67404675,-4.4157095,-4.9040875,2.7294145
238,-5.310789,-5.6832457,-4.943835,-4.9312696,-3.950196,3.0223136,-1.9375454
239,2.8084269,-4.878502,-1.5017622,0.006269276,-4.9679837,-5.046697,-5.4365473
240,-3.8668623,-1.9278686,-2.5812771,-4.367978,2.5639758,-4.770643,-4.6119757
241,-1.2042992,-1.137204,2.2002382,-2.0229151,-3.7677498,-4.4409266,-4.9099803
242,-1.4912,-0.7126813,2.4884732,-1.2801318,-1.2852769,-4.4774427,-5.361239
243,-4.518208,1.8606372,-2.7015898,-5.4657955,-5.376535,-3.092291,-2.2909088
244,-3.6879299,-1.2473277,-5.648305,-5.807968,-5.846723,2.5536377,-4.5413165
245,-2.4910977,-1.282269,2.45315,-1.7517577,-2.6943262,-3.460074,-3.7189202
246,-1.6072605,-1.8783976,-1.2160512,-4.4965944,-1.2840807,-4.066104,2.64024
247,2.1962104,-0.5105757,-2.7400231,-4.1749754,-5.474617,-5.101082,-3.8050642
248,-2.057539,-2.3828762,-3.2037106,2.1124806,-1.7914723,-5.540917,-3.2487864
249,-5.076461,-1.6249166,2.2103367,-0.7200262,-0.58992076,-4.442712,-4.295781
250,-2.38057,-1.5624316,-4.12314,-5.167326,-1.6065943,-5.553731,2.8260202
251,-3.2810411,-0.1271376,2.683621,-4.593997,-1.2715269,-4.409094,-2.9706905
252,-3.2319148,-1.6321188,-2.0557742,2.3751698,-1.7626942,-5.097948,-4.9209394
253,-5.2318306,-2.081369,2.7417586,-1.7553546,-0.6477816,-4.098406,-4.946889
254,-5.119916,-1.3638442,-3.548868,-4.242111,-4.9115825,2.8576374,-3.4011104
255,-3.9883409,2.1294525,-4.473886,-4.0959883,-0.7130656,-4.408906,-4.118388
256,-4.9896264,-1.5273231,-6.411782,2.1696115,-3.8315701,-4.3151464,-4.49075
257,-4.2903013,-3.3443568,-4.7307363,2.226863,-1.7596017,-4.6103196,-4.814653
258,-1.6557297,1.6679456,-5.5666356,-2.498259,-4.0809355,-4.023105,-3.4932828
259,-0.801175,-2.0227134,-2.4053211,-4.447067,2.6434562,-5.041091,-4.4649754
260,2.724735,-0.8878894,-3.4410274,-3.556774,-5.4567122,-5.130369,-4.430703
261,-3.621194,-0.92206264,2.1856403,-2.1670504,-2.8749924,-5.0561695,-5.026422
262,-0.9015956,-0.90262413,-5.767916,-0.9739438,-2.1118164,-1.833306,2.7488854
263,-2.3567958,-3.044335,-5.3234057,-4.4778867,-1.6550398,-4.939843,2.7637565
264,-4.389434,-3.848653,-4.0483065,-1.9591118,-1.4725642,3.2971323,-3.9448667
265,-4.625055,-1.5995861,-4.4421043,-4.8425136,-3.3877041,2.6113384,-4.934127
266,2.839593,-3.2810853,-2.6652417,-2.7044566,-4.529156,-3.8215005,-2.1952162
267,-3.6139,-1.1197928,-5.6253114,-2.6609998,-1.7511648,-2.9320562,2.552465
268,-5.3679266,-0.5846233,-1.6711802,-5.851531,-2.2747178,-3.469148,2.8257036
269,-3.2072675,-5.3231964,-4.941212,-2.5225854,-4.573206,2.760619,-4.3034496
270,-3.4229789,-0.6010188,-5.954604,2.0375762,-3.4868205,-4.8682694,-4.4652634
271,-4.30225,-1.4027264,2.4814057,-1.6131719,-2.7012436,-2.2149408,-5.1250157
272,-5.316124,2.088286,-5.1459785,-0.77330947,-3.3998127,-4.796265,-4.852494
273,-3.2522593,-1.8942537,2.044375,-3.4274018,-4.934386,-4.838327,-1.7727978
274,2.7763922,-0.67123383,-2.8450546,-1.8358909,-1.745941,-5.149424,-4.9213552
275,-5.2311935,-2.1621006,-5.405813,-1.6189013,-0.717406,-3.0928047,2.6383004
276,-3.9056737,-2.9249568,-4.9260325,-3.5497026,-2.1978402,2.6317084,-3.6136222
277,2.616993,-3.3388634,-5.3470974,-2.4193263,-0.6750102,-4.6518965,-5.3307576
278,-0.87039936,-4.8613815,-4.7864428,-3.3428745,2.7523015,-4.2761807,-2.353578
279,2.346691,-0.5354751,-1.7202877,-5.5884776,-2.4961538,-4.9705095,-4.3220415
280,-5.7938685,-1.4825861,-1.7655008,-3.141204,-4.757553,-4.3748007,2.3556852
281,-3.921441,-0.92963505,-2.4007182,-1.3466015,2.5305882,-4.372778,-2.2856588
282,-4.7104,-1.9748238,-4.898789,-3.9021614,-2.417601,2.9247134,-3.8464012
283,2.6379633,-2.0497918,-4.430715,-2.9024775,-5.392054,-4.85333,-2.5111146
284,-4.6081657,-2.6161165,-5.627438,-0.992455,-3.4073577,2.6721919,-4.8595624
