,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Transcriptomics private topic 6,Transcriptomics private topic 9
163,-2.3552003,-4.227352,2.7644796,-0.16843992,-3.9843042,-5.696019,-3.9039483,-4.657144,-1.2496587
164,-4.9333096,-3.911473,2.551495,-5.407431,-3.5830638,-5.3074393,-1.692887,-3.6753654,-1.2222137
165,-4.53631,-5.438096,-0.08137536,-4.02703,-1.679681,2.6824818,-0.6540387,-4.3511953,-0.9265304
166,2.737906,-5.2226944,-3.5907955,-4.5234423,-1.341658,-5.910959,-1.4039018,-3.1677802,-0.5822183
167,-1.0963945,-2.2902374,2.7040842,-4.2675257,-5.805332,-2.0151815,-1.7948753,-2.8756285,-0.58018327
168,-4.341625,-5.51919,2.553305,-5.5908856,-1.3891808,-4.972941,0.13239914,-3.4397566,-0.9065493
169,-5.1331367,-3.3470552,-2.0457265,-5.8377333,2.828992,-4.1634154,-1.4463489,-4.5519586,-3.4660203
170,-2.083482,-4.424851,2.519099,-3.1986825,-4.512093,-2.6747983,-4.772363,-4.4612894,-1.0652816
171,-4.070842,-1.1830633,-5.3921514,2.373624,-1.4429884,-5.2253165,-2.358689,-4.150269,-1.3887517
172,-5.4716945,2.5685282,0.022597492,-2.252253,-1.5448952,-0.7749896,-2.2118382,-3.8475883,-0.8485975
173,-2.1276445,-0.5472752,2.6094682,-1.9527574,-4.4403534,-1.7864946,0.13877577,-1.946882,-0.52068526
174,-5.283629,-3.507097,-0.877787,-1.645987,-4.7868237,2.3019986,-0.7405462,-4.558011,-0.8091942
175,-3.4729686,-2.5968728,-0.6038402,2.7410161,-3.582101,-3.8542001,-3.8042092,-4.736149,-1.2472992
176,-5.628707,-2.6230745,-3.7722597,-5.145156,-2.563827,2.6549327,-3.193381,-3.991892,-0.34388888
177,-1.6305151,-1.6389189,-1.6203824,-1.4708248,-3.271548,-0.50498915,2.6605022,-3.6743274,-0.7328888
178,-3.695663,-5.8739514,-0.52868766,-1.1162776,-4.4517183,2.256938,-0.38791633,-4.725688,-2.6825006
179,2.5557477,-4.5407333,-4.0852013,-4.882841,-3.23498,-3.6073706,-1.142983,-4.4480824,-1.2821302
180,-2.4691372,-2.7437787,2.4504485,-5.004329,-4.8051405,-2.4332795,-5.1383157,-4.025055,-1.1658723
181,-1.8814654,2.75179,-2.5256705,-1.3723489,-4.902174,-2.6865144,-5.65695,-4.382634,-1.085122
182,-1.2152294,2.7305977,-1.9412872,-5.306642,-2.1169024,-4.3587213,-0.7975867,-3.7987506,-0.73277134
183,-0.8691132,-3.7675824,-0.2219859,-3.942793,-5.740138,-5.0110455,-2.447175,2.458308,-0.3226901
184,-3.580379,-0.6538511,-0.85150445,2.2688587,-1.5768538,-4.9716096,-1.6993568,-4.495794,-2.0596116
185,-0.31119993,2.48036,-2.64235,-4.1460586,-3.407447,-2.1528683,-0.98211956,-4.195388,-3.0727901
186,-0.8377656,-4.3088713,-3.781997,-5.5437565,-5.502231,-5.4041786,2.949122,-3.3671286,-1.4392668
187,-3.218799,-5.118572,-3.5700676,-5.046443,-5.333555,-6.114294,2.7466435,-3.2255914,-0.6120584
188,2.5072122,-4.960644,-1.9645032,-4.0639915,-3.7477975,-4.8494835,-5.0949264,-4.2691135,-0.78373986
189,-4.4963503,-3.6109912,-1.1714534,-6.450766,2.517312,-4.913629,-4.8978724,-4.8591275,-5.3543973
190,2.509256,-3.0407965,-3.3126636,-0.9443296,-3.1178358,-2.8477447,-5.064042,-3.6071928,-0.57371724
191,-4.330616,-5.482301,-4.896064,-5.436287,2.528295,-1.1150721,-5.709466,-4.5824084,-2.7203624
192,-3.5751953,-4.3386135,-1.0308099,-2.4540558,-3.8777618,-4.1344013,2.7218997,-3.4676173,-2.3774445
193,-3.6405027,-2.4396243,2.5355134,-4.5674763,-3.9365761,-1.9203515,-4.095521,-4.873274,-1.8469627
194,2.4573498,-0.6182788,-1.8563759,-3.3293567,-5.830284,-4.7665462,-1.37538,-4.511421,-3.6495202
195,-2.921242,-6.042061,-4.0394335,-5.662599,-5.185909,-4.986161,-3.0393271,2.5318725,-0.1468181
196,-5.833159,-2.471561,2.556866,-4.5370097,-3.8229203,-1.7014475,-1.3163862,-4.509645,-0.7185765
197,2.7662191,-1.1911826,-1.6351805,-3.773975,-2.5629468,-4.2392607,-4.338484,-5.351519,-6.1381264
198,-5.2536616,-4.885368,-5.2842884,-2.6827116,-3.8112452,-0.5718707,-5.0224376,2.5162048,1.3995407
199,-0.8827348,-3.0231664,-4.7062626,2.5820098,-2.5578299,-3.9319944,-3.473272,-3.7516167,-0.6817619
200,-1.6862735,2.526447,-3.1996024,-1.5765175,-2.0408807,-1.7820235,-5.572363,-5.2270675,-4.5120616
201,-6.095518,-4.540564,-5.649997,2.738982,-3.0994847,-5.3708754,-2.2683501,-1.1101444,-0.45852435
202,2.632193,-1.5812091,-0.89885676,-2.0384252,-1.3471224,-3.0786767,-3.801653,-4.7647934,-4.7572517
203,-2.7701137,-3.050046,-2.477188,-2.434689,-5.8286657,-2.6541278,2.5494988,-3.0211885,-0.5924535
204,-3.0896082,-3.785434,-4.714137,-4.337576,-4.9988585,2.404109,-1.0388567,-5.0445595,-2.3307328
205,-4.430764,-2.853285,-3.6235054,2.3690026,-1.9418031,-4.1412573,-5.775811,-4.6197896,-4.6912723
206,-3.0012424,-4.793153,-0.25652978,2.4524274,-1.5382979,-4.60468,-0.5432289,-4.592527,-0.74592763
207,-1.2340103,-4.794129,-1.410497,-2.5312378,-3.6005652,2.606003,-1.0406789,-1.2303234,-0.3526761
208,2.7838209,-0.8880245,-0.88747364,-1.2726891,-3.0740352,-4.822924,-3.2539449,-0.25400335,-0.6622638
209,-4.739482,2.4889112,-3.4738748,-3.7992609,-3.5795047,-5.1456327,-6.0373993,-4.3513393,-1.6526265
210,-4.580083,-4.382574,-3.0031712,-5.3676367,2.6664526,-4.037277,-4.6858687,-4.1839285,-0.5568059
211,-2.5919924,2.507483,-0.7481278,-1.0721889,-3.5542264,-4.7584414,-1.882651,-2.4091597,-0.5942955
212,-2.9948606,-1.0590186,-1.0895721,-0.3019238,-4.132757,2.5478163,-1.2577362,-4.1783013,-0.705168
213,-3.2789888,-2.505662,-1.3320608,-5.238945,2.3820088,-5.827536,-1.0347506,-1.6099374,-0.5285546
