Shared topic 2,Shared topic 3,Shared topic 6,Shared topic 7,Shared topic 10,Transcriptomics private topic 3,Transcriptomics private topic 6,Transcriptomics private topic 8,Transcriptomics private topic 9,Transcriptomics private topic 10,Proteomics private topic 2,Proteomics private topic 4,Proteomics private topic 5,Proteomics private topic 6,Proteomics private topic 7,Proteomics private topic 8
0.33149904,0.102250636,0.43693012,0.871297,0.07900089,-0.21642955,-0.14810714,-0.22350615,-0.12351452,-0.30651745,-0.23452725,-0.36249396,-0.39215124,-0.43043056,-0.43416014,-0.1775519
-0.052770033,-0.053150166,0.6492567,0.12643896,-0.2707963,-0.21310832,-0.11706459,-0.29831448,-0.1833338,-0.21604754,-0.14073455,0.019853435,-0.4116006,-0.04828593,-0.018848931,-0.39535195
-0.067398265,-0.6869907,0.004126911,-0.33942348,-0.57236785,-0.29029503,-0.017008256,-0.3247698,-0.21619909,-0.20786552,0.04171143,-0.16767426,-0.3599178,-0.32684943,-0.20860173,0.030993585
2.8693318,-0.5633148,0.5432512,-0.71611094,-0.63905585,-0.28238449,-0.2218124,-0.58589643,-0.31662834,0.0032086615,-0.36644468,-0.8081095,-0.34097436,-0.69167566,-0.77466047,-0.3580543
-0.62305474,-0.017885461,-0.27125746,-0.0475827,0.062752426,-0.2763123,-0.114469565,-0.3488912,-0.22222255,-0.2024729,-0.056517404,-0.036355898,-0.3034091,-0.15096934,-0.10972957,-0.1752166
0.24745247,-0.09022969,0.13304901,0.2775215,-0.5832505,-0.27698022,-0.03138617,0.30657503,-0.011929566,-0.2572245,0.33669257,-0.27803856,-0.5952218,0.121238865,-0.061729737,-0.37508035
-0.2603889,-0.2683056,-0.12094644,-0.1514821,-0.13381216,-0.4656936,0.25998202,0.42101434,-0.49468118,-0.15782425,-0.32185572,-0.4462104,-0.19525951,-0.57910997,-0.45117247,-0.12896952
-0.42900985,-0.3358067,-1.0296456,-0.663534,-0.5932937,-0.04950661,-0.2203346,-0.23902847,-0.16082036,-0.33975315,-0.9031902,3.2201915,-0.3304587,3.1355655,3.2616076,-0.20665628
-0.30740356,-0.27546623,0.0258037,0.09315413,-0.10946092,-0.31173602,-0.11427546,-0.26473498,-0.28458476,-0.079302475,-0.26604763,-0.23290986,-0.20290326,-0.28764516,-0.31427962,-0.3037725
-0.17924568,-0.43284988,0.17747766,-0.3181126,0.27228725,-0.30739,-0.27308354,-0.527049,-0.20079483,0.12759432,3.4443214,-0.4140363,-0.32509,-0.6753976,-0.33206457,3.5265086
-0.51220214,-0.3205794,0.17039233,-0.66246897,-0.045886368,-0.25650832,-0.16023673,-0.3202737,-0.2585126,-0.23332457,-0.68487704,-0.7115058,3.8227332,-0.56245005,-0.52361006,-0.75282663
-0.3413866,-0.683165,-0.1867671,-0.39501733,-0.81042856,-0.19713925,-0.2852754,-0.5873988,-0.33351186,0.1399644,-0.73210865,-0.52611214,4.0413055,-0.49578223,-0.38550577,-0.59978783
-0.11524901,4.541553,0.4397733,2.362448,0.14432855,-0.19029936,-0.280719,-0.19978176,-0.10944604,-0.2175677,-0.15666565,-0.528046,-0.4678003,-0.28526458,-0.6032285,-0.46301028
-0.39044243,-0.30497488,-0.57227963,-0.36289686,-0.02048973,0.03889522,0.07215121,-0.12042045,0.008861524,-0.14691654,-0.2518439,-0.23598762,-0.36633006,-0.32081017,-0.26950264,-0.26912266
-0.46316767,-0.38813484,-0.5639864,-0.41867858,0.007074982,-0.3539398,-0.23198512,-0.8243897,-0.4232788,0.15201266,-0.09363122,-0.20555073,-0.16353337,-0.17629336,-0.2521989,-0.34093097
3.8484464,-0.45398426,0.23339732,0.6413176,-0.07264283,-0.438809,-0.26678893,-0.18408757,-0.32126027,-0.20702943,-0.37127897,-0.800109,-0.3206116,-0.6907317,-0.74422276,-0.38246146
-0.22432819,-0.6491833,0.044600695,-0.27169347,-0.38499513,-0.29471782,-0.10146536,-0.29040405,-0.1801361,-0.24819365,-0.18344203,-0.2562711,-0.27558795,-0.3311039,-0.37150472,-0.28302845
0.24603388,-0.17889579,-0.33979064,-0.022369143,-0.5848937,-0.35840425,-0.110425785,-0.4705299,-0.30062678,-0.14771572,-0.24681246,-0.30250552,-0.25552818,-0.4005763,-0.30954203,-0.098692596
-0.4398954,0.41537002,-0.11874958,-0.60615176,-0.80835456,-0.19677816,-0.189928,-0.34056473,-0.15628217,-0.2352738,3.5790193,-0.36015245,-0.27762917,-0.70302665,-0.25685367,3.720934
